,transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
1,Manual,Maruti,2015,415000.00000000006,Petrol,7.0,20687.0,First Owner,1196,73.0,15.37,Chennai
2,Manual,Nissan,2021,750000.0,Petrol,5.0,30000.0,First Owner,999,98.63,20.0,Chennai
3,Manual,Hyundai,2015,398000.0,Petrol,5.0,59247.0,First Owner,1086,68.05,19.81,Chennai
4,Manual,Honda,2015,550000.0,Petrol,5.0,50000.0,First Owner,1199,88.7,18.7,Chennai
5,Automatic,Mercedes-Benz,2016,3300000.0,Diesel,5.0,20000.0,First Owner,2143,204.0,13.0,Chennai
6,Automatic,Maruti,2016,453000.0,Petrol,5.0,29403.0,First Owner,998,67.04,23.1,Chennai
7,Manual,Maruti,2010,285000.0,Petrol,5.0,42700.0,First Owner,998,66.1,19.0,Chennai
8,Automatic,BMW,2018,5000000.0,Diesel,5.0,23001.0,First Owner,1995,187.7,16.55,Chennai
9,Automatic,Ford,2018,821000.0000000001,Petrol,5.0,25925.0,Second Owner,1497,121.36,14.8,Chennai
10,Manual,Hyundai,2021,865000.0,Petrol,5.0,20000.0,First Owner,1197,81.8,21.0,Chennai
11,Automatic,Honda,2019,792000.0,Petrol,5.0,17711.0,First Owner,1199,88.7,18.2,Chennai
12,Automatic,BMW,2020,4050000.0,Diesel,5.0,50000.0,First Owner,1995,187.74,20.37,Chennai
13,Manual,Maruti,2018,610000.0,Petrol,5.0,50000.0,First Owner,1197,81.8,22.0,Chennai
14,Manual,Hyundai,2018,511000.00000000006,Petrol,5.0,51125.0,Second Owner,1197,81.86,18.9,Chennai
15,Manual,Tata,2019,710000.0,Diesel,5.0,69233.0,First Owner,1497,108.5,21.5,Chennai
16,Manual,Jeep,2017,1225000.0,Diesel,5.0,65000.0,First Owner,1956,167.67,17.1,Chennai
17,Manual,Honda,2014,570000.0,Petrol,5.0,93281.0,First Owner,1497,117.3,17.4,Chennai
19,Manual,Honda,2014,375000.0,Petrol,5.0,99225.0,Second Owner,1198,86.7,18.0,Chennai
20,Manual,Hyundai,2016,275000.0,Petrol,5.0,30000.0,First Owner,998,68.05,20.3,Chennai
21,Manual,Honda,2014,429000.0,Petrol,5.0,30602.0,First Owner,1198,86.7,18.0,Chennai
22,Manual,Maruti,2018,675000.0,Diesel,5.0,64500.0,First Owner,1248,74.0,25.2,Chennai
23,Manual,Honda,2017,793000.0,Petrol,5.0,46809.0,Second Owner,1497,117.3,17.8,Chennai
25,Automatic,Hyundai,2019,1425000.0,Diesel,5.0,20000.0,First Owner,1582,126.2,17.01,Chennai
26,Automatic,Hyundai,2020,1036000.0,Petrol,5.0,21725.0,First Owner,998,118.35,18.15,Chennai
27,Manual,Honda,2016,800000.0,Petrol,5.0,80000.0,First Owner,1497,117.3,17.8,Chennai
28,Automatic,Audi,2013,1400000.0,Petrol,5.0,88000.0,Second Owner,1984,177.01,13.53,Chennai
29,Automatic,Honda,2019,1088000.0,Petrol,5.0,30360.0,Second Owner,1497,117.6,17.4,Chennai
30,Automatic,Maruti,2017,590000.0,Petrol,5.0,70000.0,Second Owner,1197,83.1,21.4,Chennai
31,Manual,Hyundai,2016,568000.0,Petrol,5.0,16246.0,First Owner,1197,82.0,18.9,Chennai
32,Automatic,Maruti,2017,400000.0,Petrol,5.0,55000.0,Second Owner,998,67.04,23.1,Chennai
33,Automatic,Toyota,2022,2790000.0,Petrol,7.0,13000.0,First Owner,2694,163.6,8.0,Chennai
34,Automatic,Maruti,2016,422000.0,Petrol,5.0,71638.0,Second Owner,998,67.04,23.1,Chennai
