transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
Automatic,Kia Sonet,2022,₹ 11.50 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,998 CC,118.36bhp,,Chennai
Manual,Maruti Eeco,2015,₹ 4.15 Lakh,Petrol,7 Seats,"20,687 Kms",First Owner,1196 CC,73bhp,15.37 kmpl,Chennai
Manual,Nissan Magnite,2021,₹ 7.50 Lakh,Petrol,5 Seats,"30,000 Kms",First Owner,999 CC,98.63bhp,20 kmpl,Chennai
Manual,Hyundai i10,2015,₹ 3.98 Lakh,Petrol,5 Seats,"59,247 Kms",First Owner,1086 CC,68.05bhp,19.81 kmpl,Chennai
Manual,Honda Jazz,2015,₹ 5.50 Lakh,Petrol,5 Seats,"50,000 Kms",First Owner,1199 CC,88.7bhp,18.7 kmpl,Chennai
Automatic,Mercedes-Benz E-Class,2016,₹ 33 Lakh,Diesel,5 Seats,"20,000 Kms",First Owner,2143 CC,204bhp,13 kmpl,Chennai
Automatic,Maruti Celerio,2016,₹ 4.53 Lakh,Petrol,5 Seats,"29,403 Kms",First Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Manual,Maruti A-Star,2010,₹ 2.85 Lakh,Petrol,5 Seats,"42,700 Kms",First Owner,998 CC,66.1bhp,19 kmpl,Chennai
Automatic,BMW X3,2018,₹ 50 Lakh,Diesel,5 Seats,"23,001 Kms",First Owner,1995 CC,187.7bhp,16.55 kmpl,Chennai
Automatic,Ford Ecosport,2018,₹ 8.21 Lakh,Petrol,5 Seats,"25,925 Kms",Second Owner,1497 CC,121.36bhp,14.8 kmpl,Chennai
Manual,Hyundai i20,2021,₹ 8.65 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,1197 CC,81.80bhp,21 kmpl,Chennai
Automatic,Honda Jazz,2019,₹ 7.92 Lakh,Petrol,5 Seats,"17,711 Kms",First Owner,1199 CC,88.7bhp,18.2 kmpl,Chennai
Automatic,BMW 3 Series,2020,₹ 40.50 Lakh,Diesel,5 Seats,"50,000 Kms",First Owner,1995 CC,187.74bhp,20.37 kmpl,Chennai
Manual,Maruti Swift,2018,₹ 6.10 Lakh,Petrol,5 Seats,"50,000 Kms",First Owner,1197 CC,81.80bhp,22 kmpl,Chennai
Manual,Hyundai Grand i10,2018,₹ 5.11 Lakh,Petrol,5 Seats,"51,125 Kms",Second Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Manual,Tata Nexon,2019,₹ 7.10 Lakh,Diesel,5 Seats,"69,233 Kms",First Owner,1497 CC,108.5bhp,21.5 kmpl,Chennai
Manual,Jeep Compass,2017,₹ 12.25 Lakh,Diesel,5 Seats,"65,000 Kms",First Owner,1956 CC,167.67bhp,17.1 kmpl,Chennai
Manual,Honda City,2014,₹ 5.70 Lakh,Petrol,5 Seats,"93,281 Kms",First Owner,1497 CC,117.3bhp,17.4 kmpl,Chennai
Manual,Toyota Fortuner,2022,₹ 39 Lakh,Diesel,7 Seats,"18,000 Kms",First Owner,2755 CC,201.15bhp,,Chennai
Manual,Honda Amaze,2014,₹ 3.75 Lakh,Petrol,5 Seats,"99,225 Kms",Second Owner,1198 CC,86.7bhp,18 kmpl,Chennai
Manual,Hyundai EON,2016,₹ 2.75 Lakh,Petrol,5 Seats,"30,000 Kms",First Owner,998 CC,68.05bhp,20.3 kmpl,Chennai
Manual,Honda Amaze,2014,₹ 4.29 Lakh,Petrol,5 Seats,"30,602 Kms",First Owner,1198 CC,86.7bhp,18 kmpl,Chennai
Manual,Maruti Swift,2018,₹ 6.75 Lakh,Diesel,5 Seats,"64,500 Kms",First Owner,1248 CC,74bhp,25.2 kmpl,Chennai
Manual,Honda City,2017,₹ 7.93 Lakh,Petrol,5 Seats,"46,809 Kms",Second Owner,1497 CC,117.3bhp,17.8 kmpl,Chennai
Automatic,Tata Nexon EV,2020,₹ 11 Lakh,Electric,5 Seats,"20,000 Kms",First Owner,0 CC,127bhp,,Chennai
Automatic,Hyundai Creta,2019,₹ 14.25 Lakh,Diesel,5 Seats,"20,000 Kms",First Owner,1582 CC,126.2bhp,17.01 kmpl,Chennai
Automatic,Hyundai Venue,2020,₹ 10.36 Lakh,Petrol,5 Seats,"21,725 Kms",First Owner,998 CC,118.35bhp,18.15 kmpl,Chennai
Manual,Honda City,2016,₹ 8 Lakh,Petrol,5 Seats,"80,000 Kms",First Owner,1497 CC,117.3bhp,17.8 kmpl,Chennai
Automatic,Audi A6,2013,₹ 14 Lakh,Petrol,5 Seats,"88,000 Kms",Second Owner,1984 CC,177.01bhp,13.53 kmpl,Chennai
Automatic,Honda City,2019,₹ 10.88 Lakh,Petrol,5 Seats,"30,360 Kms",Second Owner,1497 CC,117.6bhp,17.4 kmpl,Chennai
Automatic,Maruti Baleno,2017,₹ 5.90 Lakh,Petrol,5 Seats,"70,000 Kms",Second Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai Grand i10,2016,₹ 5.68 Lakh,Petrol,5 Seats,"16,246 Kms",First Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Automatic,Maruti Celerio,2017,₹ 4 Lakh,Petrol,5 Seats,"55,000 Kms",Second Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Automatic,Toyota Innova Crysta,2022,₹ 27.90 Lakh,Petrol,7 Seats,"13,000 Kms",First Owner,2694 CC,163.60bhp,8 kmpl,Chennai
Automatic,Maruti Celerio,2016,₹ 4.22 Lakh,Petrol,5 Seats,"71,638 Kms",Second Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Manual,Honda Amaze,2015,₹ 4.50 Lakh,Petrol,5 Seats,"46,105 Kms",First Owner,1198 CC,86.7bhp,18 kmpl,Chennai
Manual,Honda WR-V,2017,₹ 6.50 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,1199 CC,88.7bhp,17.5 kmpl,Chennai
Manual,Honda Jazz,2017,₹ 5.75 Lakh,Diesel,5 Seats,"80,000 Kms",First Owner,1498 CC,98.6bhp,27.3 kmpl,Chennai
Automatic,Mercedes-Benz B Class,2015,₹ 19.50 Lakh,Diesel,5 Seats,"58,000 Kms",First Owner,2143 CC,107.3bhp,15 kmpl,Chennai
Manual,Maruti Esteem,2008,₹ 1.50 Lakh,Petrol,5 Seats,"70,000 Kms",Second Owner,1298 CC,85 PS ,15.9 kmpl,Chennai
Automatic,Maruti Baleno,2017,₹ 7.02 Lakh,Petrol,5 Seats,"61,764 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Mahindra KUV 100,2016,₹ 4.48 Lakh,Petrol,6 Seats,"36,018 Kms",Second Owner,1198 CC,82bhp,18.15 kmpl,Chennai
Automatic,Renault Duster,2016,₹ 6.50 Lakh,Diesel,5 Seats,"1,50,000 Kms",First Owner,1461 CC,108.45bhp,19.6 kmpl,Chennai
Manual,Hyundai Grand i10 Nios,2022,₹ 8.01 Lakh,Petrol,5 Seats,"17,197 Kms",First Owner,998 CC,98.63bhp,20.7 kmpl,Chennai
Automatic,Honda City,2016,₹ 7.72 Lakh,Petrol,5 Seats,"62,931 Kms",Second Owner,1497 CC,117.3bhp,18 kmpl,Chennai
Manual,Toyota Corolla Altis,2013,₹ 5 Lakh,Petrol,5 Seats,"90,000 Kms",Second Owner,1798 CC,138.1bhp,14.53 kmpl,Chennai
Manual,Mahindra XUV300,2021,₹ 11.03 Lakh,Petrol,5 Seats,"21,023 Kms",First Owner,1197 CC,108.62bhp,16.82 kmpl,Chennai
Manual,Toyota Corolla Altis,2018,₹ 14.90 Lakh,Diesel,5 Seats,"43,000 Kms",First Owner,1364 CC,86.79bhp,21.43 kmpl,Chennai
Automatic,Maruti Swift Dzire,2017,₹ 6.27 Lakh,Diesel,5 Seats,"1,10,505 Kms",First Owner,1248 CC,74.02bhp,28.4 kmpl,Chennai
Manual,Hyundai Verna,2018,₹ 8.35 Lakh,Petrol,5 Seats,"78,892 Kms",First Owner,1591 CC,121.3bhp,17 kmpl,Chennai
Automatic,Audi A6,2015,₹ 20.90 Lakh,Diesel,5 Seats,"59,000 Kms",First Owner,1968 CC,187.74bhp,18.53 kmpl,Chennai
Manual,Chevrolet Sail,2014,₹ 3.50 Lakh,Petrol,5 Seats,"90,058 Kms",First Owner,1199 CC,82.4bhp,18.2 kmpl,Chennai
Automatic,Audi Q5,2015,₹ 21 Lakh,Diesel,5 Seats,"69,000 Kms",First Owner,2967 CC,241.4bhp,13.22 kmpl,Chennai
Manual,Honda WR-V,2019,₹ 9.25 Lakh,Diesel,5 Seats,"67,000 Kms",First Owner,1498 CC,98.6bhp,25.5 kmpl,Chennai
Manual,Maruti Ciaz,2017,₹ 8.50 Lakh,Diesel,5 Seats,"80,000 Kms",First Owner,1248 CC,88.5bhp,28.09 kmpl,Chennai
Manual,Maruti Ciaz,2017,₹ 8.50 Lakh,Diesel,5 Seats,"80,000 Kms",First Owner,1248 CC,88.5bhp,28.09 kmpl,Chennai
Automatic,Audi Q7,2020,₹ 66 Lakh,Diesel,7 Seats,"57,000 Kms",First Owner,2967 CC,245bhp,14.75 kmpl,Chennai
Manual,Toyota Innova Crysta,2018,₹ 21.50 Lakh,Diesel,8 Seats,"8,00,000 Kms",First Owner,2393 CC,147.8bhp,13.68 kmpl,Chennai
Automatic,Mercedes-Benz C-Class,2018,₹ 36 Lakh,Diesel,5 Seats,"55,00,000 Kms",First Owner,2143 CC,167.62bhp,19.27 kmpl,Chennai
Automatic,BMW 7 Series,2017,₹ 68 Lakh,Diesel,5 Seats,"27,000 Kms",First Owner,2993 CC,258bhp,16.46 kmpl,Chennai
Manual,Tata Nexon,2018,₹ 7.07 Lakh,Petrol,5 Seats,"38,334 Kms",First Owner,1198 CC,108.5bhp,17 kmpl,Chennai
Manual,Volkswagen Polo,2019,₹ 6.80 Lakh,Petrol,5 Seats,"36,992 Kms",First Owner,999 CC,75.10bhp,17.74 kmpl,Chennai
Automatic,BMW X3,2016,₹ 37.50 Lakh,Diesel,5 Seats,"50,000 Kms",Second Owner,2993 CC,258bhp,16.55 kmpl,Chennai
Automatic,Tata New Safari,2021,₹ 20.39 Lakh,Diesel,6 Seats,"34,596 Kms",First Owner,1956 CC,167.67bhp,14.08 kmpl,Chennai
Manual,Datsun GO,2019,₹ 4.01 Lakh,Petrol,5 Seats,"84,564 Kms",First Owner,1198 CC,67.05bhp,19.02 kmpl,Chennai
Automatic,Mercedes-Benz E-Class,2013,₹ 21.50 Lakh,Diesel,5 Seats,"60,001 Kms",Second Owner,2143 CC,204bhp,13 kmpl,Chennai
Manual,Hyundai Santro,2018,₹ 5.05 Lakh,Petrol,5 Seats,"23,462 Kms",First Owner,1086 CC,68bhp,20.3 kmpl,Chennai
Automatic,Volkswagen Taigun,2022,₹ 15.99 Lakh,Petrol,5 Seats,"13,000 Kms",First Owner,999 CC,113.98bhp,18.41 kmpl,Chennai
Automatic,Honda Amaze,2019,₹ 8.30 Lakh,Diesel,5 Seats,"54,658 Kms",First Owner,1498 CC,78.9bhp,23.8 kmpl,Chennai
Manual,Mahindra XUV300,2020,₹ 10.36 Lakh,Petrol,5 Seats,"34,164 Kms",First Owner,1197 CC,108.62bhp,16.82 kmpl,Chennai
Manual,Kia Seltos,2022,₹ 15.95 Lakh,Petrol,5 Seats,"10,000 Kms",First Owner,1497 CC,113.43bhp,16.8 kmpl,Chennai
Manual,Fiat Punto,2010,₹ 1 Lakh,Petrol,5 Seats,"70,000 Kms",Third Owner,1368 CC,88.7bhp,14.6 kmpl,Chennai
Manual,Hyundai Venue,2020,₹ 8.25 Lakh,Petrol,5 Seats,"37,000 Kms",First Owner,1197 CC,81.86bhp,17.52 kmpl,Chennai
Automatic,Mahindra XUV700,2022,₹ 29 Lakh,Diesel,7 Seats,"20,000 Kms",First Owner,2198 CC,182.38bhp,,Chennai
Manual,Maruti Baleno,2016,₹ 5.50 Lakh,Petrol,5 Seats,"53,967 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai i10,2011,₹ 2.99 Lakh,Petrol,5 Seats,"52,700 Kms",First Owner,1197 CC,78.9bhp,20.36 kmpl,Chennai
Automatic,Tata Nexon,2018,₹ 7.50 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,1198 CC,108.5bhp,17 kmpl,Chennai
Manual,Maruti Baleno,2016,₹ 5.50 Lakh,Petrol,5 Seats,"53,967 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
